stop_id,stop_name,stop_lat,stop_lon
296,Northwest Ave at 3400 Block,48.777627,-122.498803
297,Northwest Ave at McLeod Rd,48.780906,-122.501238
298,Northwest Ave at Sterling Dr,48.785867,-122.504955
300,Westerly Rd at Meridian St,48.791908,-122.487420
301,Cordata Pkwy at El Dorado Way,48.808144,-122.497960
302,Cordata Pkwy at Horton Rd,48.804840,-122.496020
303,Cordata Pkwy at Sea Mar,48.801559,-122.496140
304,Cordata Pkwy at Westerly Rd,48.791369,-122.491571
305,Northwest Ave at Sterling Dr,48.786117,-122.504878
306,Northwest Ave at McLeod Rd,48.781626,-122.501536
307,Northwest Ave at Shuksan Middle School,48.779156,-122.499941
308,Northwest Ave at Shuksan Middle School,48.778190,-122.498986
309,Birchwood Ave at Meridian St,48.777190,-122.483878
310,Birchwood Ave at Orchard Pl,48.777184,-122.479490
311,Birchwood Ave at Squalicum Pkwy,48.777143,-122.476077
312,Birchwood Ave at Squalicum Pkwy,48.777054,-122.476820
313,Birchwood Ave at Orchard Pl,48.777066,-122.479422
314,Birchwood Ave at Meridian St,48.777094,-122.483869
315,Northwest Ave at Lynn St,48.771198,-122.493450
316,Northwest Ave at Connecticut St,48.765986,-122.489275
317,Elm St at Jefferson St,48.763365,-122.488292
318,Elm St at Broadway,48.760342,-122.488280
319,Dupont St at C St,48.755989,-122.482467
320,Prospect St at Flora St,48.753415,-122.480891
321,Champion St at Prospect St,48.751817,-122.480520
322,Prospect St at Central Ave,48.753765,-122.481197
323,Dupont St at D St,48.755453,-122.481948
324,Dupont St at H St,48.758096,-122.486011
325,Dupont St at J St,48.759396,-122.487950
326,Elm St at Broadway,48.760388,-122.488508
327,Holly St at Central Ave,48.752571,-122.483662
328,Holly St at D St,48.754258,-122.486211
329,Eldridge Ave at Victor St,48.758735,-122.495033
331,Eldridge Ave at West St,48.760021,-122.499430
333,Eldridge Ave at Lafayette St,48.761021,-122.503256
334,Marine Dr at Illinois St,48.767752,-122.518389
335,Bennett Dr at Marine Dr,48.768990,-122.520121
336,Bennett Dr at Cedarwood Ave,48.771103,-122.520080
337,Bennett Dr at 3100 Block,48.772720,-122.520070
338,Airport Dr at Williamson Way,48.781086,-122.532230
339,Airport Dr at Canterbury Ln,48.785929,-122.522622
340,Eldridge Ave at Lafayette St,48.761823,-122.505186
342,Eldridge Ave at Jaeger St,48.759961,-122.498899
344,Eldridge Ave at Williams St,48.758834,-122.495195
345,Holly St at J St,48.757168,-122.490390
347,Holly St at D St,48.754439,-122.486235
348,Holly St at Central Ave,48.752732,-122.483590
349,Champion St at Prospect St,48.751930,-122.481404
350,MacKenzie Rd at Lummi View Dr,48.731689,-122.662480
351,MacKenzie Rd at Morning Star Dr,48.734235,-122.664837
352,Haxton Way at Ruth Rd,48.734986,-122.672193
353,Haxton Way at MacKenzie Rd,48.739465,-122.669811
354,MacKenzie Rd at Eagle Ave,48.737655,-122.670387
355,MacKenzie Rd at Finkbonner Rd,48.735736,-122.668099
356,Haxton Way at Southgate Rd,48.743445,-122.666531
357,Haxton Way at Southgate Rd,48.742679,-122.667351
358,Haxton Way at Smokehouse Rd,48.747673,-122.663011
359,Haxton Way at Smokehouse Rd,48.746147,-122.664512
360,Haxton Way at Balch Rd,48.750584,-122.660578
361,Haxton Way at Balch Rd,48.750514,-122.660846
362,Haxton Way at Sunset Way,48.754196,-122.657643
363,Haxton Way at Sunset Way,48.753723,-122.658170
364,Haxton Way at Cagey Rd,48.757883,-122.654584
365,Haxton Way at Cagey Rd,48.757339,-122.655190
366,Haxton Way at Boynton Rd,48.769011,-122.646361
367,Haxton Way at Boynton Rd,48.768342,-122.647043
368,Haxton Way at Harnden Rd,48.776668,-122.643966
369,Haxton Way at Harnden Rd,48.775869,-122.644152
370,Kwina Rd at Haxton Way,48.793759,-122.632974
371,Kwina Rd at Haxton Way,48.793882,-122.632769
372,Kwina Rd at Health Services,48.793886,-122.621775
373,Kwina Rd at Health Services,48.793758,-122.621038
374,Kwina Rd at 2600 Block,48.793880,-122.617391
375,Kwina Rd at 2600 Block,48.793740,-122.617421
376,Kwina Rd at Northwest Indian College,48.793769,-122.614267
377,Kwina Rd at Northwest Indian College,48.793898,-122.614736
378,Marine Dr at Rural Ave,48.790209,-122.580498
